date,time,open,high,low,close,volume
2025.06.19,04:00,3373.60600,3375.31800,3347.47400,3365.99200,51763
2025.06.19,08:00,3365.94900,3379.05000,3362.21500,3371.96700,34205
2025.06.19,12:00,3371.97100,3372.96300,3361.52000,3369.26000,41460
2025.06.19,16:00,3369.22300,3374.14000,3366.10800,3373.45500,7486
2025.06.19,22:02,3369.50300,3370.41100,3361.99800,3368.73900,14142
2025.06.20,00:00,3368.76300,3370.35000,3344.60000,3355.50700,40627
2025.06.20,04:00,3355.53900,3357.68900,3340.34500,3347.69100,34464
2025.06.20,08:00,3347.65700,3359.26300,3346.49500,3347.05100,30543
2025.06.20,12:00,3347.09400,3374.47700,3341.84300,3369.85600,54340
2025.06.20,16:00,3369.78600,3373.36500,3364.58300,3365.62500,21451
2025.06.20,20:00,3365.57800,3369.31400,3364.69000,3368.61800,4124
2025.06.22,22:05,3384.11700,3388.91200,3371.17300,3372.75500,26388
2025.06.23,00:00,3372.77600,3373.55100,3351.89600,3363.37200,45477
2025.06.23,04:00,3363.38500,3365.05200,3346.97100,3357.62700,32035
2025.06.23,08:00,3357.67200,3382.04200,3357.67200,3380.59600,32651
2025.06.23,12:00,3380.62700,3389.82000,3355.86900,3387.24000,63778
2025.06.23,16:00,3387.22900,3393.50600,3375.60700,3376.36200,48274
2025.06.23,20:00,3376.32000,3377.29500,3341.44600,3344.31300,32853
2025.06.24,00:00,3344.36800,3357.91200,3333.15700,3352.45800,49949
2025.06.24,04:00,3352.40300,3353.42900,3316.02100,3329.64500,56433
2025.06.24,08:00,3329.65800,3332.32000,3317.82900,3321.21400,35650
2025.06.24,12:00,3321.18100,3321.18100,3295.33900,3313.26100,76713
2025.06.24,16:00,3313.29600,3325.18400,3311.27600,3323.47900,27188
2025.06.24,20:00,3323.52600,3324.88200,3320.84200,3324.13900,10134
2025.06.25,00:00,3324.08700,3335.20900,3323.62700,3328.29500,26390
2025.06.25,04:00,3328.28400,3337.11700,3325.77700,3330.63100,23235
2025.06.25,08:00,3330.65600,3332.41400,3321.39700,3322.64700,29300
2025.06.25,12:00,3322.66000,3329.49400,3311.89400,3325.62400,40261
2025.06.25,16:00,3325.66400,3336.06800,3324.11100,3333.70600,27278
2025.06.25,20:00,3333.74500,3340.15800,3331.27900,3339.02800,13239
2025.06.26,00:00,3338.98700,3343.22300,3329.18100,3337.97000,30044
2025.06.26,04:00,3338.08800,3347.23900,3330.98100,3346.05100,26925
2025.06.26,08:00,3346.06600,3350.37000,3331.46900,3332.92100,30649
2025.06.26,12:00,3332.93700,3344.05600,3309.94600,3324.80800,69837
2025.06.26,16:00,3324.84500,3336.50100,3323.72900,3331.30100,26730
2025.06.26,20:00,3331.40700,3332.32700,3316.22900,3318.75800,13468
2025.06.27,00:00,3318.73100,3322.01200,3292.55700,3294.31800,38501
2025.06.27,04:00,3294.36400,3300.94100,3283.39400,3284.45800,45723
2025.06.27,08:00,3284.43000,3291.13000,3276.00900,3281.38900,40245
2025.06.27,12:00,3281.35800,3282.35700,3255.83600,3274.68000,80287
2025.06.27,16:00,3274.57400,3282.76800,3268.36600,3270.57400,32260
2025.06.27,20:00,3270.61600,3275.49600,3270.28000,3274.59800,4763
2025.06.29,22:05,3272.48800,3274.23400,3247.92100,3263.79400,27933
2025.06.30,00:00,3263.74600,3283.29700,3259.44500,3278.98100,40150
2025.06.30,04:00,3278.99600,3296.85000,3276.96400,3292.87900,28643
2025.06.30,08:00,3292.80200,3296.58200,3274.48800,3277.93200,32241
2025.06.30,12:00,3277.99300,3290.77800,3277.95500,3289.62500,41694
2025.06.30,16:00,3289.66900,3309.44600,3289.07300,3308.53400,26759
2025.06.30,20:00,3308.50200,3314.57700,3302.29800,3312.44100,15535
2025.07.01,00:00,3312.44600,3322.66000,3309.91700,3321.16100,30280
2025.07.01,04:00,3321.17300,3339.89700,3318.89300,3339.49700,30076
2025.07.01,08:00,3339.50100,3353.08200,3336.75300,3349.00000,30781
2025.07.01,12:00,3349.03500,3358.01500,3337.00700,3340.22800,57293
2025.07.01,16:00,3340.21500,3343.52300,3336.81000,3338.04200,25449
2025.07.01,20:00,3338.01200,3343.82600,3336.77100,3338.15200,13762
2025.07.02,00:00,3338.18600,3344.98700,3328.53400,3339.95900,34536
2025.07.02,04:00,3339.92500,3343.95100,3327.58500,3334.61500,28259
2025.07.02,08:00,3334.58200,3347.71100,3332.86900,3342.19900,24984
2025.07.02,12:00,3342.21400,3351.11700,3333.81800,3341.02100,48445
2025.07.02,16:00,3340.94300,3359.51900,3340.94300,3358.25800,22176
2025.07.02,20:00,3358.30200,3365.75200,3348.77000,3349.39500,17802
2025.07.03,00:00,3349.44200,3351.47400,3341.88000,3347.50900,26360
2025.07.03,04:00,3347.43700,3363.67700,3347.38400,3353.07700,26531
2025.07.03,08:00,3353.09600,3358.37400,3342.98700,3346.07300,27273
2025.07.03,12:00,3346.04100,3352.31400,3311.53500,3328.04500,74606
2025.07.03,16:00,3328.10600,3334.86200,3325.66200,3328.74900,15640
2025.07.03,20:00,3328.71300,3332.02500,3323.58200,3330.87100,9801
2025.07.04,00:00,3330.87500,3338.94800,3325.86800,3338.35000,23810
2025.07.04,04:00,3338.30700,3345.12700,3336.38400,3342.94700,24308
2025.07.04,08:00,3342.95000,3344.24700,3331.46600,3334.79500,22775
2025.07.04,12:00,3334.79100,3338.05900,3330.85100,3332.38400,23569
2025.07.04,16:00,3332.35700,3335.95200,3332.22200,3335.07000,2595
2025.07.06,22:05,3341.40800,3341.91100,3326.18700,3328.85300,12010
2025.07.07,00:00,3328.83000,3329.72600,3306.05400,3310.84800,40934
2025.07.07,04:00,3310.89200,3315.21500,3300.64000,3302.21700,35064
2025.07.07,08:00,3302.17500,3312.76300,3296.29600,3301.98200,39706
2025.07.07,12:00,3301.94000,3322.03100,3300.37600,3320.83900,46054
2025.07.07,16:00,3320.80200,3340.43800,3320.08200,3337.02500,29902
2025.07.07,20:00,3337.06400,3345.85200,3333.89900,3334.65300,14651
2025.07.08,00:00,3334.69600,3338.03500,3329.59500,3331.46900,31731
2025.07.08,04:00,3331.39800,3339.50000,3327.30400,3333.89300,25159
2025.07.08,08:00,3333.85200,3333.87700,3319.94000,3324.99900,29578
2025.07.08,12:00,3325.09500,3329.86400,3287.06000,3298.24100,59269
2025.07.08,16:00,3298.24900,3310.37700,3295.91200,3302.99200,36121
2025.07.08,20:00,3303.02000,3304.07400,3297.19900,3302.27700,14011
2025.07.09,00:00,3302.38400,3307.99400,3284.90900,3293.25400,35944
2025.07.09,04:00,3293.24400,3297.83300,3285.49500,3291.85200,32879
2025.07.09,08:00,3291.82200,3295.98700,3282.62600,3284.93600,30225
2025.07.09,12:00,3284.96900,3312.93400,3284.96900,3309.60600,45643
2025.07.09,16:00,3309.55500,3316.87400,3307.88900,3315.65300,23159
2025.07.09,20:00,3315.63600,3321.10400,3311.59000,3317.66100,11209
2025.07.10,00:00,3317.55900,3326.41500,3315.36500,3315.79900,25426
2025.07.10,04:00,3315.68200,3329.40700,3314.79600,3321.04700,23393
2025.07.10,08:00,3321.07100,3330.31800,3318.33100,3320.42400,27495
2025.07.10,12:00,3320.45200,3329.43100,3310.01700,3319.75400,48465
